Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Gohan Kaijuu Pap,,2011-04-25,0,"['Action', 'Comedy', 'Kids']",['DLE'],Recent/Airing
Haru ni Nattara Koguma no Yugo Monogatari,,2020-05-29,0,"['Iyashikei', 'Kids', 'Slice of Life']",[],Recent/Airing
Hatachi no Ryouma with Kurofune-kun!,,2018-08-01,0,"['Historical', 'Kids', 'Sci-Fi']",['DLE'],Recent/Airing
Himawari Girls Mini Anime,,2020-12-28,0,"['Comedy', 'Kids']",[],Recent/Airing
Himitsukessha Taka no Tsume GG,,2018-07-19,0,"['Comedy', 'Parody', 'Super Power']",[],Recent/Airing
Hodong Wangjawa Laglang Gongju (2022),,2022-12,0,"['Drama', 'Historical']",['SEK Studios'],Recent/Airing
Honda Bike x Kuromi,,2025-07-08,0,"['Anthropomorphic', 'Fantasy', 'Slice of Life']",[],Recent/Airing
I Love Me 2nd Season,,2022-10-23,0,['Kids'],['Oddjob'],Recent/Airing
iichiko Story,,2021-06-24,0,"['Adult Cast', 'Slice of Life']","['DR Movie', 'Chiptune', 'Flat Studio']",Recent/Airing
Inpuru-kun no Sonzai Shinai Oshigoto,,2025-09-01,0,"['Comedy', 'Gag Humor']",[],Recent/Airing
Jiang Ye,,2026-04-23,19,"['Action', 'Drama', 'Fantasy', 'Historical']",['Wonder Cat Animation'],Recent/Airing
